"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398268156.424581","473296089.385475","579608938.547486","684245810.055866","757039106.145251","864301675.977654","948994413.407821","1065363128.49162","1225810055.86592","1305474860.3352","1362067039.10615","1508659217.87709","1659776536.31285","1680223463.68715","1849411061.45251","1839207486.03352","1826138994.41341","1990803463.68715","2180507318.43575","1881063631.28492","2363943575.41899","2293013743.01676","2726393631.28492","2465043407.82123","2313385195.53073","2391841396.64804","2499117877.09497","2563536267.1177","2688075584.91248","2838130181.5396","2848394661.61251","2921834588.52763","3061560247.49876","3193218428.88629","2403263785.50794","2776223324.95211","3199360728.77932","3519129076.42496","4039327140.12281","",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","23464951029.2887","24136380799.2319","26301924135.5603","30880155374.7246","29299420386.2528","33057340483.4609","36224599463.133","37806268901.5292","41050196249.7652","46262755233.3091","46783622453.9648","51330079480.0443","55741746941.2477","71784435159.4034","87736656426.6608","93186193422.8078","93673891918.2797","106737955751.013","121704743578.783","138978562235.518","173744431899.504","180957644437.733","173730129988.461","181265177837.904","164964174117.173","142054180797.847","152968256190.802","180251291174.038","195712661168.347","210445825825.899","241800981027.565","259689743578.522","226581796127.248","228415374036.908","231150503250.731","262184189110.198","262007272509.606","276926362903.393","257912245402.05","253743925958.18","274641285410.837","248575493526.216","257724725972.026","344098655597.327","429195569443.328","500965778248.94","562434035803.354","641943449465.112","685608010806.335","697809381754.157","825393232466.564","918510943744.548","934692676578.953","943791706754.536","963571309374.009","881535658309.862","811663685915.379","950836930742.11","992400568110.467","991567197803.905","920755743652.882","1089511345030.14","1198936193147.56","1155595166398.29","1214087758828.03","",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","3411145674.07204","2824372441.02049","3886746599.72657","4582016675.61324","5291642598.0037","6280264337.36715","7100373840.59309","9877773213.94871","10107195992.8587","12378340930.5187","15885775064.3022","17781511431.23","19961261595.0253","20209353657.8054","20559672324.9094","19249499438.7455","18350475875.2999","18961769787.4548","18294513957.5523","19080662010.7479","20105156769.1907","14346089107.5906","14540297386.1968","17234567719.6546","","",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537376955175.908","481723867585.027","563973314412.513","641296937282.897","700729563788.105","791368160533.683","869914796277.883","756045244970.982","683987436285.951","672931817987.906","754254154823.9","1004570049958.12","950699341219.399","1003026945346.45","1032901502607.75","905745801550.302","709400929823.196","",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684938832.80968","6684938832.80968","6684938832.80968","6684938832.80968","10027408249.2145","10027408249.2145","10603784541.197","3498025673.08989","3237547175.39543","1943279029.73498","4771491965.00864","5829658222.83079","6730623908.4876","5537455450.78712","4780893222.00189","7448734939.06306","7375089140.55224","15676856311.9322","18615647146.2456","24509414187.1398","37365747722.2611","52475792470.3349","65438794607.5786","85072885273.227","74882034165.2543","87460057855.4168","115854308015.468","133151153807.579","139261659141.632","145191848660.073","97942031907.3252","57126689656.6181","79848009168.4983","83375219202.1768","74324623609.8307","54495933431.2391","74105702073.4186","123199460916.032","99104446786.4362","94409204822.1653","",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860537995.338","1898450116.55012","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894750864.46173","2948692798.61916","3306167280.18339","2343997477.84594","2676876892.69648","3359212262.12889","3689222173.07372","4185058644.71669","4624119308.46162","5952285931.80638","7575939040.97181","8418687429.19188","9412746291.08843","11414912597.6549","13323218080.8673","12142698872.1192","11967011385.8856","12977704697.6757","12154768314.6648","13017049606.3435","13417554541.1452","11605289009.87","12181282157.1984","13290106389.8566","15362123022.025","15383299260.0065","14991629029.9126","17782008133.694","18686373239.7011","23193107891.1024","26837725371.8347","",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3462353964.50817","3268597017.03929","3576560921.78064","3526084639.81534","3917922127.07063","4101796967.17142","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","26119756914.1572","27669619438.5659","29836714718.8872","33806892639.9339","37513179700.3411","41558139015.7753","49061325532.1963","60529523837.6951","76347879222.4959","152071615759.918","172666137693.561","213239336494.881","245420350631.56","270938294355.489","368317561033.069","489851383668.525","498378753316.286","469671051249.639","447077157645.333","447447352860.74","439308363836.903","413005134952.416","439213369813.277","438084060649.851","467874449752.909","649895652764.595","469273500826.065","472929200516.566","480517802133.097","498791259093.699","532190599567.116","574232137467.099","619083812373.519","605961128285.947","660464865777.568","763927898075.433","744482157608.646","739790090318.844","819769131238.104","981186075579.91","1203397381936.52","1447206434160.57","1691769733389.33","2126265509829.13","1827413724951.6","2149178739103.06","2554958248929.06","2810213087124.12","2883157097340.7","2940570876755.16","2593611690256.44","2551687631007.39","2628164912435.84","2921848729502.6","2965013825362.49","2599776971629.67","3086541877064.32","3738519427401.59","3644192588928.77","3751025921339.35","",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","1013827078.89708","1404797336.87899","1949807451.15457","3755519161.4883","11483447260.4885","14704238186.5985","19108219775.658","24243553279.7889","23905226488.8171","33485412239.9281","45645874046.3914","51224321309.4525","48291066999.1828","43184024527.6491","42501107775.538","41960869171.343","33400856614.5464","36432286281.6671","36832778570.4168","42626953329.6105","54023555494.6881","53067268836.8292","55543310460.365","56568307273.2226","60027340288.7497","67623645518.9322","74877992399.891","81394151648.0523","79921625595.6433","84382386766.5078","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503880190.606","226854458815.521","266289176310.415","319278420694.35","256161470388.019","307652552756.978","369016473791.695","393092988427.502","410095575221.239","425594826412.526","383715724982.982","383813750850.919","406142409802.587","441984206943.499","435987749489.449","355283049693.669","421706194690.266","511457862491.491","537244383934.649","568335738597.686","",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","16276085884.9568","20653136202.6061","18812286413.3057","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8777","26044571826.7842","31036571602.8723","30396317996.8419","33634600190.9299","34199500220.4044","52722220653.6761","72679890116.6394","53148109438.0634","51185002822.6107","56339203222.3998","88487714886.6314","68626165139.2133","76286574003.3819","76842107526.2031","79243829293.0471","98072174234.6778","110861462345.883","83420985728.03","101088864106.72","103754219523.247","121369592383.219","70212893608.0928","135150300109.313","183857364656.529","224521060685.899","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224897476611.227","279994211725.862","352615480862.974","322744327792.305","409192468872.686","515004538945.145","533073608485.977","540185748561.537","515532241212.846","583615452086.538","545251641127.714","627200463933.824","506094045059.703","430166792070.565","375344057341.93","476802271007.631","622322864798.092","635510654015.596","625194996836.448","",
